Estado,Genero,Edad,cod_depto,nombre,cod_muni,municipio,Anio
Activo,MASCULINO,44,1,Guatemala,65,Villa Canales,2011
Activo,MASCULINO,44,1,Guatemala,57,Mixco,2014
Traslado,MASCULINO,48,1,Guatemala,1,Ciudad de Guatemala,2013
Activo,MASCULINO,45,1,Guatemala,57,Mixco,2015
Traslado,FEMENINO,44,1,Guatemala,1,Ciudad de Guatemala,2013
Traslado,MASCULINO,46,1,Guatemala,1,Ciudad de Guatemala,2011
Traslado,MASCULINO,40,1,Guatemala,1,Ciudad de Guatemala,2010
Activo,MASCULINO,48,1,Guatemala,64,Villa Nueva,2010
Activo,MASCULINO,40,1,Guatemala,1,Ciudad de Guatemala,2010
Activo,FEMENINO,47,1,Guatemala,57,Mixco,2019
Activo,FEMENINO,48,1,Guatemala,1,Ciudad de Guatemala,2018
Activo,MASCULINO,47,1,Guatemala,64,Villa Nueva,2018
Traslado,FEMENINO,48,4,Chimaltenango,16,El Tejar,2010
Activo,MASCULINO,47,1,Guatemala,1,Ciudad de Guatemala,2017
Traslado,MASCULINO,41,1,Guatemala,1,Ciudad de Guatemala,2010
Activo,FEMENINO,36,1,Guatemala,1,Ciudad de Guatemala,2010
Activo,MASCULINO,45,1,Guatemala,57,Mixco,2010
Activo,MASCULINO,45,1,Guatemala,57,Mixco,2014
Traslado,MASCULINO,41,1,Guatemala,66,San Miguel Petapa,2010
Activo,MASCULINO,39,1,Guatemala,57,Mixco,2010
Traslado,FEMENINO,41,1,Guatemala,64,Villa Nueva,2010
Traslado,MASCULINO,53,1,Guatemala,1,Ciudad de Guatemala,2019
Traslado,FEMENINO,42,1,Guatemala,57,Mixco,2013
Traslado,MASCULINO,40,1,Guatemala,1,Ciudad de Guatemala,2010
Traslado,MASCULINO,38,1,Guatemala,1,Ciudad de Guatemala,2010
Activo,MASCULINO,40,3,Sacatepequez,6,Santiago Sacatepequez,2010
Traslado,MASCULINO,49,1,Guatemala,63,Amatitlan,2010
Traslado,MASCULINO,41,1,Guatemala,1,Ciudad de Guatemala,2012
Traslado,MASCULINO,40,1,Guatemala,64,Villa Nueva,2010
Traslado,MASCULINO,41,1,Guatemala,1,Ciudad de Guatemala,2010
Activo,MASCULINO,43,1,Guatemala,57,Mixco,2012
Traslado,FEMENINO,47,1,Guatemala,60,San Raymundo,2017
Traslado,FEMENINO,45,1,Guatemala,1,Ciudad de Guatemala,2014
Traslado,MASCULINO,51,1,Guatemala,1,Ciudad de Guatemala,2010
Traslado,MASCULINO,42,1,Guatemala,1,Ciudad de Guatemala,2010
Traslado,MASCULINO,40,1,Guatemala,1,Ciudad de Guatemala,2010
Activo,MASCULINO,43,3,Sacatepequez,2,Jocotenango,2014
Activo,MASCULINO,42,1,Guatemala,52,San Jose Pinula,2012
Activo,FEMENINO,41,1,Guatemala,51,Santa Catarina Pinula,2013
Traslado,MASCULINO,40,1,Guatemala,64,Villa Nueva,2011
Activo,MASCULINO,47,1,Guatemala,57,Mixco,2018
Traslado,MASCULINO,41,1,Guatemala,1,Ciudad de Guatemala,2012
Traslado,MASCULINO,48,1,Guatemala,57,Mixco,2010
Traslado,MASCULINO,46,1,Guatemala,1,Ciudad de Guatemala,2018
Activo,MASCULINO,41,1,Guatemala,1,Ciudad de Guatemala,2013
Traslado,FEMENINO,37,1,Guatemala,64,Villa Nueva,2010
Traslado,FEMENINO,48,1,Guatemala,1,Ciudad de Guatemala,2017
Activo,FEMENINO,40,1,Guatemala,1,Ciudad de Guatemala,2010
Traslado,MASCULINO,38,1,Guatemala,57,Mixco,2010
Activo,MASCULINO,40,1,Guatemala,57,Mixco,2010
Traslado,MASCULINO,49,1,Guatemala,1,Ciudad de Guatemala,2013
Traslado,MASCULINO,38,1,Guatemala,1,Ciudad de Guatemala,2010
Activo,MASCULINO,40,1,Guatemala,59,San Juan Sacatepequez,2010
Traslado,MASCULINO,47,20,Chiquimula,4,Jocotan,2015
Activo,MASCULINO,46,1,Guatemala,66,San Miguel Petapa,2012
Traslado,FEMENINO,38,1,Guatemala,1,Ciudad de Guatemala,2010
Traslado,MASCULINO,41,1,Guatemala,1,Ciudad de Guatemala,2012
Traslado,MASCULINO,42,1,Guatemala,1,Ciudad de Guatemala,2010
Traslado,MASCULINO,37,1,Guatemala,66,San Miguel Petapa,2010
Activo,MASCULINO,39,5,Escuintla,1,Escuintla,2010
Traslado,MASCULINO,43,4,Chimaltenango,7,Patzun,2011
Traslado,MASCULINO,44,1,Guatemala,66,San Miguel Petapa,2011
Activo,MASCULINO,48,1,Guatemala,1,Ciudad de Guatemala,2019
Traslado,MASCULINO,38,1,Guatemala,1,Ciudad de Guatemala,2010
Traslado,MASCULINO,44,1,Guatemala,57,Mixco,2016
Activo,MASCULINO,42,4,Chimaltenango,9,Patzicia,2014
Activo,MASCULINO,39,1,Guatemala,1,Ciudad de Guatemala,2010
Traslado,MASCULINO,22,22,Jutiapa,14,Moyuta,2010
Traslado,FEMENINO,39,1,Guatemala,1,Ciudad de Guatemala,2012
Activo,MASCULINO,39,1,Guatemala,57,Mixco,2011
Traslado,MASCULINO,42,1,Guatemala,57,Mixco,2010
Traslado,MASCULINO,43,4,Chimaltenango,1,Chimaltenango,2013
Activo,MASCULINO,44,1,Guatemala,66,San Miguel Petapa,2017
Traslado,MASCULINO,50,1,Guatemala,57,Mixco,2010
Traslado,FEMENINO,36,1,Guatemala,55,Chinautla,2010
Traslado,FEMENINO,39,1,Guatemala,1,Ciudad de Guatemala,2010
Activo,MASCULINO,50,1,Guatemala,57,Mixco,2019
Traslado,MASCULINO,38,1,Guatemala,1,Ciudad de Guatemala,2010
Activo,MASCULINO,37,1,Guatemala,57,Mixco,2010
Activo,MASCULINO,48,1,Guatemala,1,Ciudad de Guatemala,2019
Activo,MASCULINO,46,1,Guatemala,64,Villa Nueva,2019
Activo,MASCULINO,39,1,Guatemala,57,Mixco,2011
Activo,MASCULINO,41,1,Guatemala,1,Ciudad de Guatemala,2014
Traslado,MASCULINO,42,1,Guatemala,64,Villa Nueva,2015
Traslado,MASCULINO,37,1,Guatemala,1,Ciudad de Guatemala,2010
Traslado,MASCULINO,43,10,Suchitepequez,1,Mazatenango,2015
Traslado,MASCULINO,38,1,Guatemala,1,Ciudad de Guatemala,2011
Traslado,MASCULINO,38,1,Guatemala,1,Ciudad de Guatemala,2010
Activo,MASCULINO,43,1,Guatemala,1,Ciudad de Guatemala,2016
Traslado,MASCULINO,40,1,Guatemala,1,Ciudad de Guatemala,2010
Traslado,MASCULINO,42,1,Guatemala,63,Amatitlan,2014
Activo,MASCULINO,43,3,Sacatepequez,8,San Lucas Sacatepequez,2013
Traslado,MASCULINO,37,1,Guatemala,64,Villa Nueva,2010
Traslado,MASCULINO,40,1,Guatemala,64,Villa Nueva,2010
Activo,MASCULINO,41,1,Guatemala,1,Ciudad de Guatemala,2010
Traslado,FEMENINO,47,1,Guatemala,64,Villa Nueva,2014
Activo,MASCULINO,45,1,Guatemala,1,Ciudad de Guatemala,2015
Traslado,MASCULINO,41,1,Guatemala,1,Ciudad de Guatemala,2010
Traslado,MASCULINO,46,1,Guatemala,1,Ciudad de Guatemala,2011
Activo,MASCULINO,43,1,Guatemala,1,Ciudad de Guatemala,2013
Traslado,MASCULINO,45,1,Guatemala,1,Ciudad de Guatemala,2010
Traslado,MASCULINO,43,1,Guatemala,1,Ciudad de Guatemala,2011
Traslado,MASCULINO,40,1,Guatemala,1,Ciudad de Guatemala,2010
Traslado,MASCULINO,41,13,Huehuetenango,1,Huehuetenango,2012
Traslado,MASCULINO,44,1,Guatemala,64,Villa Nueva,2010
Activo,MASCULINO,42,1,Guatemala,66,San Miguel Petapa,2016
Traslado,MASCULINO,40,1,Guatemala,1,Ciudad de Guatemala,2011
Traslado,MASCULINO,39,4,Chimaltenango,1,Chimaltenango,2013
Traslado,MASCULINO,36,1,Guatemala,1,Ciudad de Guatemala,2010
Traslado,MASCULINO,40,1,Guatemala,52,San Jose Pinula,2013
Traslado,MASCULINO,38,1,Guatemala,64,Villa Nueva,2011
Traslado,MASCULINO,43,1,Guatemala,64,Villa Nueva,2015
Traslado,MASCULINO,39,1,Guatemala,1,Ciudad de Guatemala,2010
Activo,MASCULINO,36,1,Guatemala,1,Ciudad de Guatemala,2010
Traslado,MASCULINO,43,12,San Marcos,1,San Marcos,2010
Traslado,MASCULINO,39,1,Guatemala,1,Ciudad de Guatemala,2011
Activo,MASCULINO,45,1,Guatemala,1,Ciudad de Guatemala,2018
Traslado,MASCULINO,37,1,Guatemala,64,Villa Nueva,2010
Activo,MASCULINO,48,1,Guatemala,57,Mixco,2017
Traslado,MASCULINO,36,1,Guatemala,1,Ciudad de Guatemala,2010
Traslado,FEMENINO,36,1,Guatemala,1,Ciudad de Guatemala,2010
Activo,MASCULINO,39,1,Guatemala,57,Mixco,2012
Traslado,MASCULINO,40,1,Guatemala,55,Chinautla,2012
Activo,MASCULINO,41,1,Guatemala,57,Mixco,2014
Traslado,MASCULINO,42,1,Guatemala,1,Ciudad de Guatemala,2015
Activo,MASCULINO,44,1,Guatemala,1,Ciudad de Guatemala,2015
Activo,FEMENINO,40,1,Guatemala,57,Mixco,2010
Activo,MASCULINO,47,1,Guatemala,1,Ciudad de Guatemala,2017
Traslado,MASCULINO,38,1,Guatemala,64,Villa Nueva,2010
Activo,MASCULINO,33,1,Guatemala,1,Ciudad de Guatemala,2010
Activo,MASCULINO,45,1,Guatemala,57,Mixco,2011
Traslado,MASCULINO,42,1,Guatemala,64,Villa Nueva,2010
Activo,FEMENINO,46,1,Guatemala,63,Amatitlan,2019
Traslado,MASCULINO,44,1,Guatemala,1,Ciudad de Guatemala,2010
Activo,MASCULINO,36,1,Guatemala,57,Mixco,2011
Activo,MASCULINO,36,1,Guatemala,57,Mixco,2010
Traslado,MASCULINO,41,1,Guatemala,1,Ciudad de Guatemala,2014
Traslado,MASCULINO,39,1,Guatemala,1,Ciudad de Guatemala,2010
Traslado,MASCULINO,44,1,Guatemala,57,Mixco,2016
Activo,FEMENINO,42,1,Guatemala,1,Ciudad de Guatemala,2013
Traslado,MASCULINO,45,1,Guatemala,1,Ciudad de Guatemala,2019
Traslado,MASCULINO,36,1,Guatemala,57,Mixco,2010
Traslado,MASCULINO,48,1,Guatemala,1,Ciudad de Guatemala,2010
Traslado,MASCULINO,36,1,Guatemala,1,Ciudad de Guatemala,2010
Traslado,MASCULINO,36,1,Guatemala,57,Mixco,2010
Traslado,MASCULINO,44,1,Guatemala,1,Ciudad de Guatemala,2014
Traslado,MASCULINO,44,20,Chiquimula,1,Chiquimula,2017
Traslado,MASCULINO,38,1,Guatemala,1,Ciudad de Guatemala,2011
Activo,MASCULINO,45,1,Guatemala,1,Ciudad de Guatemala,2018
Traslado,MASCULINO,41,1,Guatemala,1,Ciudad de Guatemala,2013
Activo,MASCULINO,36,1,Guatemala,57,Mixco,2010
Activo,MASCULINO,40,1,Guatemala,66,San Miguel Petapa,2012
Traslado,FEMENINO,40,1,Guatemala,1,Ciudad de Guatemala,2013
Traslado,FEMENINO,55,1,Guatemala,1,Ciudad de Guatemala,2012
Traslado,MASCULINO,39,1,Guatemala,1,Ciudad de Guatemala,2010
Traslado,FEMENINO,38,1,Guatemala,62,Fraijanes,2010
Traslado,MASCULINO,36,12,San Marcos,1,San Marcos,2010
Traslado,MASCULINO,42,1,Guatemala,1,Ciudad de Guatemala,2010
Activo,MASCULINO,42,1,Guatemala,1,Ciudad de Guatemala,2016
Traslado,MASCULINO,39,1,Guatemala,1,Ciudad de Guatemala,2010
Activo,MASCULINO,42,1,Guatemala,1,Ciudad de Guatemala,2013
Traslado,MASCULINO,37,1,Guatemala,64,Villa Nueva,2010
Traslado,FEMENINO,42,1,Guatemala,57,Mixco,2014
Traslado,FEMENINO,36,1,Guatemala,1,Ciudad de Guatemala,2010
Traslado,FEMENINO,37,1,Guatemala,55,Chinautla,2010
Traslado,MASCULINO,35,3,Sacatepequez,1,Antigua Guatemala,2010
Traslado,MASCULINO,36,1,Guatemala,66,San Miguel Petapa,2011
Traslado,FEMENINO,37,1,Guatemala,66,San Miguel Petapa,2010
Traslado,MASCULINO,37,1,Guatemala,1,Ciudad de Guatemala,2012
Traslado,FEMENINO,41,1,Guatemala,57,Mixco,2016
Traslado,FEMENINO,37,1,Guatemala,66,San Miguel Petapa,2010
Activo,MASCULINO,40,1,Guatemala,57,Mixco,2015
Traslado,MASCULINO,38,1,Guatemala,1,Ciudad de Guatemala,2010
Activo,MASCULINO,42,1,Guatemala,1,Ciudad de Guatemala,2018
Activo,FEMENINO,42,1,Guatemala,66,San Miguel Petapa,2018
Activo,MASCULINO,36,1,Guatemala,1,Ciudad de Guatemala,2010
Activo,MASCULINO,39,1,Guatemala,56,San Pedro Ayampuc,2013
Traslado,MASCULINO,42,1,Guatemala,1,Ciudad de Guatemala,2016
Activo,MASCULINO,39,20,Chiquimula,5,Camotan,2013
Traslado,MASCULINO,44,1,Guatemala,1,Ciudad de Guatemala,2017
Traslado,MASCULINO,37,17,Peten,3,San Benito,2010
Traslado,MASCULINO,41,1,Guatemala,1,Ciudad de Guatemala,2015
Traslado,MASCULINO,36,2,El Progreso,1,Guastatoya,2010
Traslado,MASCULINO,36,1,Guatemala,65,Villa Canales,2010
Traslado,MASCULINO,37,1,Guatemala,64,Villa Nueva,2011
Traslado,MASCULINO,41,1,Guatemala,57,Mixco,2010
Traslado,MASCULINO,35,17,Peten,12,Poptun,2010
Traslado,MASCULINO,37,1,Guatemala,57,Mixco,2010
Traslado,MASCULINO,38,3,Sacatepequez,8,San Lucas Sacatepequez,2010
Traslado,MASCULINO,36,1,Guatemala,57,Mixco,2010
Traslado,MASCULINO,39,1,Guatemala,1,Ciudad de Guatemala,2013
Activo,MASCULINO,38,1,Guatemala,1,Ciudad de Guatemala,2010
Traslado,MASCULINO,35,19,Zacapa,2,Estanzuela,2010
Activo,MASCULINO,46,1,Guatemala,1,Ciudad de Guatemala,2013
Activo,MASCULINO,36,1,Guatemala,57,Mixco,2011
Traslado,MASCULINO,37,1,Guatemala,57,Mixco,2011
Activo,MASCULINO,41,1,Guatemala,1,Ciudad de Guatemala,2016
Traslado,FEMENINO,37,1,Guatemala,1,Ciudad de Guatemala,2013
Traslado,FEMENINO,37,1,Guatemala,1,Ciudad de Guatemala,2010
Traslado,MASCULINO,39,1,Guatemala,1,Ciudad de Guatemala,2010
Traslado,MASCULINO,45,1,Guatemala,57,Mixco,2016
Traslado,MASCULINO,46,3,Sacatepequez,1,Antigua Guatemala,2016
Traslado,FEMENINO,41,1,Guatemala,64,Villa Nueva,2010
Traslado,MASCULINO,43,1,Guatemala,64,Villa Nueva,2017
Traslado,MASCULINO,34,1,Guatemala,57,Mixco,2010
Activo,MASCULINO,43,3,Sacatepequez,13,San Miguel Dueñas,2016
Traslado,FEMENINO,44,1,Guatemala,57,Mixco,2019
Traslado,MASCULINO,39,1,Guatemala,62,Fraijanes,2010
Traslado,MASCULINO,40,12,San Marcos,15,Malacatan,2011
Traslado,MASCULINO,42,1,Guatemala,1,Ciudad de Guatemala,2016
Traslado,MASCULINO,39,1,Guatemala,1,Ciudad de Guatemala,2010
Traslado,MASCULINO,36,1,Guatemala,1,Ciudad de Guatemala,2010
Activo,MASCULINO,51,1,Guatemala,1,Ciudad de Guatemala,2010
Traslado,MASCULINO,39,1,Guatemala,57,Mixco,2010
Traslado,MASCULINO,34,1,Guatemala,66,San Miguel Petapa,2010
Traslado,MASCULINO,45,1,Guatemala,1,Ciudad de Guatemala,2015
Traslado,MASCULINO,39,12,San Marcos,1,San Marcos,2013
Activo,MASCULINO,39,1,Guatemala,1,Ciudad de Guatemala,2013
Traslado,MASCULINO,35,1,Guatemala,57,Mixco,2010
Traslado,MASCULINO,46,1,Guatemala,57,Mixco,2010
Traslado,MASCULINO,36,1,Guatemala,1,Ciudad de Guatemala,2010
Traslado,FEMENINO,35,1,Guatemala,1,Ciudad de Guatemala,2010
Activo,MASCULINO,34,1,Guatemala,57,Mixco,2010
Traslado,MASCULINO,41,1,Guatemala,65,Villa Canales,2013
Traslado,MASCULINO,38,1,Guatemala,1,Ciudad de Guatemala,2013
Traslado,FEMENINO,40,1,Guatemala,1,Ciudad de Guatemala,2013
Traslado,FEMENINO,36,1,Guatemala,57,Mixco,2010
Traslado,FEMENINO,46,1,Guatemala,1,Ciudad de Guatemala,2019
Activo,FEMENINO,43,1,Guatemala,57,Mixco,2016
Traslado,FEMENINO,38,1,Guatemala,57,Mixco,2010
Traslado,MASCULINO,44,1,Guatemala,1,Ciudad de Guatemala,2011
Traslado,MASCULINO,36,1,Guatemala,1,Ciudad de Guatemala,2010
Traslado,MASCULINO,39,1,Guatemala,57,Mixco,2010
Traslado,FEMENINO,34,1,Guatemala,63,Amatitlan,2010
Traslado,MASCULINO,36,1,Guatemala,1,Ciudad de Guatemala,2010
Traslado,MASCULINO,43,1,Guatemala,1,Ciudad de Guatemala,2015
Traslado,MASCULINO,49,1,Guatemala,64,Villa Nueva,2019
Traslado,FEMENINO,39,1,Guatemala,1,Ciudad de Guatemala,2013
Activo,MASCULINO,35,3,Sacatepequez,7,San Bartolome Milpas Altas,2011
Activo,FEMENINO,41,1,Guatemala,1,Ciudad de Guatemala,2010
Activo,FEMENINO,35,1,Guatemala,57,Mixco,2010
Activo,MASCULINO,35,1,Guatemala,1,Ciudad de Guatemala,2010
Traslado,MASCULINO,41,1,Guatemala,1,Ciudad de Guatemala,2014
Traslado,MASCULINO,35,1,Guatemala,63,Amatitlan,2010
Activo,FEMENINO,41,1,Guatemala,1,Ciudad de Guatemala,2010
Traslado,FEMENINO,35,1,Guatemala,1,Ciudad de Guatemala,2012
Traslado,MASCULINO,43,1,Guatemala,64,Villa Nueva,2018
Traslado,MASCULINO,38,9,Quetzaltenango,1,Quetzaltenango,2012
Traslado,MASCULINO,34,1,Guatemala,1,Ciudad de Guatemala,2010
Traslado,MASCULINO,34,1,Guatemala,1,Ciudad de Guatemala,2010
Activo,MASCULINO,36,3,Sacatepequez,1,Antigua Guatemala,2010
Traslado,MASCULINO,39,1,Guatemala,66,San Miguel Petapa,2012
Traslado,MASCULINO,39,16,Alta Verapaz,9,San Pedro Carcha,2014
Traslado,FEMENINO,41,1,Guatemala,1,Ciudad de Guatemala,2016
Traslado,MASCULINO,39,1,Guatemala,57,Mixco,2016
Traslado,MASCULINO,41,1,Guatemala,1,Ciudad de Guatemala,2010
Traslado,MASCULINO,36,3,Sacatepequez,3,Pastores,2010
Traslado,MASCULINO,36,1,Guatemala,66,San Miguel Petapa,2010
Activo,MASCULINO,34,1,Guatemala,1,Ciudad de Guatemala,2010
Activo,MASCULINO,35,1,Guatemala,1,Ciudad de Guatemala,2011
Traslado,FEMENINO,37,1,Guatemala,64,Villa Nueva,2012
Activo,MASCULINO,41,14,El Quiche,1,Santa Cruz del Quiche,2016
Activo,FEMENINO,36,1,Guatemala,57,Mixco,2010
Traslado,MASCULINO,39,1,Guatemala,1,Ciudad de Guatemala,2010
Traslado,FEMENINO,36,1,Guatemala,1,Ciudad de Guatemala,2011
Activo,MASCULINO,33,1,Guatemala,1,Ciudad de Guatemala,2010
Activo,MASCULINO,34,1,Guatemala,1,Ciudad de Guatemala,2010
Traslado,MASCULINO,38,1,Guatemala,64,Villa Nueva,2011
Activo,MASCULINO,34,1,Guatemala,1,Ciudad de Guatemala,2010
Activo,FEMENINO,35,1,Guatemala,1,Ciudad de Guatemala,2012
Activo,MASCULINO,36,1,Guatemala,64,Villa Nueva,2010
Traslado,MASCULINO,38,1,Guatemala,55,Chinautla,2011
Traslado,MASCULINO,40,1,Guatemala,1,Ciudad de Guatemala,2010
Activo,MASCULINO,34,1,Guatemala,65,Villa Canales,2010
Activo,MASCULINO,36,1,Guatemala,1,Ciudad de Guatemala,2011
Activo,MASCULINO,33,1,Guatemala,64,Villa Nueva,2010
Traslado,MASCULINO,37,1,Guatemala,1,Ciudad de Guatemala,2013
Traslado,MASCULINO,37,1,Guatemala,1,Ciudad de Guatemala,2010
Traslado,MASCULINO,36,1,Guatemala,1,Ciudad de Guatemala,2011
Traslado,FEMENINO,35,1,Guatemala,1,Ciudad de Guatemala,2010
Traslado,MASCULINO,39,1,Guatemala,64,Villa Nueva,2013
Traslado,FEMENINO,35,1,Guatemala,57,Mixco,2010
Traslado,MASCULINO,37,1,Guatemala,1,Ciudad de Guatemala,2012
Traslado,MASCULINO,38,4,Chimaltenango,6,Tecpan Guatemala,2013
Traslado,MASCULINO,43,1,Guatemala,57,Mixco,2016
Traslado,MASCULINO,36,1,Guatemala,1,Ciudad de Guatemala,2010
Traslado,MASCULINO,35,1,Guatemala,63,Amatitlan,2010
Traslado,FEMENINO,41,1,Guatemala,1,Ciudad de Guatemala,2017
Traslado,MASCULINO,38,1,Guatemala,57,Mixco,2011
Traslado,MASCULINO,35,1,Guatemala,64,Villa Nueva,2010
Traslado,MASCULINO,37,19,Zacapa,4,Gualan,2014
Traslado,MASCULINO,35,1,Guatemala,51,Santa Catarina Pinula,2010
Traslado,MASCULINO,35,1,Guatemala,1,Ciudad de Guatemala,2010
Traslado,MASCULINO,37,1,Guatemala,57,Mixco,2010
Traslado,MASCULINO,35,1,Guatemala,1,Ciudad de Guatemala,2010
Traslado,FEMENINO,36,1,Guatemala,64,Villa Nueva,2011
Traslado,FEMENINO,40,1,Guatemala,1,Ciudad de Guatemala,2012
Traslado,MASCULINO,36,1,Guatemala,1,Ciudad de Guatemala,2012
Traslado,MASCULINO,36,1,Guatemala,54,Palencia,2011
Traslado,MASCULINO,34,3,Sacatepequez,5,Santo Domingo Xenacoj,2010
Traslado,MASCULINO,34,1,Guatemala,1,Ciudad de Guatemala,2010
Traslado,MASCULINO,42,1,Guatemala,1,Ciudad de Guatemala,2010
Activo,MASCULINO,36,1,Guatemala,1,Ciudad de Guatemala,2010
Traslado,MASCULINO,35,17,Peten,6,San Francisco,2010
Activo,MASCULINO,37,1,Guatemala,64,Villa Nueva,2010
Traslado,MASCULINO,37,1,Guatemala,64,Villa Nueva,2012
Traslado,MASCULINO,34,1,Guatemala,64,Villa Nueva,2010
Traslado,MASCULINO,37,1,Guatemala,55,Chinautla,2010
Traslado,MASCULINO,51,1,Guatemala,57,Mixco,2016
Traslado,MASCULINO,35,1,Guatemala,1,Ciudad de Guatemala,2011
Traslado,MASCULINO,34,1,Guatemala,57,Mixco,2010
Traslado,FEMENINO,39,1,Guatemala,1,Ciudad de Guatemala,2014
Activo,MASCULINO,35,1,Guatemala,1,Ciudad de Guatemala,2010
Traslado,MASCULINO,39,1,Guatemala,66,San Miguel Petapa,2010
Traslado,MASCULINO,37,3,Sacatepequez,8,San Lucas Sacatepequez,2013
Activo,MASCULINO,35,1,Guatemala,64,Villa Nueva,2010
Traslado,MASCULINO,35,1,Guatemala,1,Ciudad de Guatemala,2010
Traslado,MASCULINO,43,1,Guatemala,1,Ciudad de Guatemala,2018
Traslado,MASCULINO,38,1,Guatemala,1,Ciudad de Guatemala,2012
Traslado,MASCULINO,34,1,Guatemala,1,Ciudad de Guatemala,2010
Traslado,MASCULINO,41,1,Guatemala,57,Mixco,2010
Activo,MASCULINO,39,1,Guatemala,1,Ciudad de Guatemala,2016
Activo,MASCULINO,34,1,Guatemala,1,Ciudad de Guatemala,2010
Traslado,MASCULINO,35,1,Guatemala,1,Ciudad de Guatemala,2010
Traslado,MASCULINO,43,1,Guatemala,1,Ciudad de Guatemala,2018
Traslado,MASCULINO,36,1,Guatemala,1,Ciudad de Guatemala,2013
Activo,MASCULINO,32,1,Guatemala,1,Ciudad de Guatemala,2010
Activo,MASCULINO,32,1,Guatemala,1,Ciudad de Guatemala,2010
Traslado,FEMENINO,37,1,Guatemala,1,Ciudad de Guatemala,2010
Traslado,MASCULINO,41,1,Guatemala,1,Ciudad de Guatemala,2018
Activo,MASCULINO,37,1,Guatemala,1,Ciudad de Guatemala,2010
Activo,MASCULINO,37,1,Guatemala,1,Ciudad de Guatemala,2014
Traslado,MASCULINO,36,16,Alta Verapaz,1,Coban,2010
Activo,FEMENINO,36,1,Guatemala,57,Mixco,2014
